"Product Page","Product URL","Title","Description","Product Type","Tags","Categories","Visible","Hosted Image URLs","SKU","Option Name 1","Option Value 1","Option Name 2","Option Value 2","Option Name 3","Option Value 3","Price","Sale Price","On Sale","Weight","Length","Width","Height","Stock"
"/bragg/","'20411","Bragg Liquid Aminos","<p style=""white-space: pre-wrap;"">Bragg Liquid Aminos are made from natural soybeans and purified water. NON-GMO PROJECT VERIFIED & GLUTEN-FREE, they are an excellent, gourmet alternative to Tamari and Soy Sauce. Bragg Liquid Aminos, which contain no alcohol and are not fermented, add a delightful taste to a wide variety of foods.</p><p style=""white-space: pre-wrap;"">16 oz</p><p style=""white-space: pre-wrap;"">Ingredients: Alanine, Arginine, Aspartic Acid, Glutamic Acid, Glycine, Histidine, Isoleucine, Leucine, Lysine, Methionine, Phenylalanine, Proline, Serine, Threonine, Tyrosine, and Valine.</p><p style=""white-space: pre-wrap;"">Disclaimer: While Dolce Blu aims for accuracy on all products/representation such as images and information, products may not always be updated and manufacturing changes on packaging and/or ingredients may be pending update on our site. Products may sometimes be in different packaging, but quality is always guaranteed. </p> <p style=""white-space: pre-wrap;"">We suggest that you read labels, warnings and directions of all products before use and not only rely on the information provided by Dolce Blu.</p>","PHYSICAL","Amino","Condiments, View All","true","https://static1.squarespace.com/static/5ab127302487fd2c665fa5bb/5b3054e9d535541881fe25b3/5b3054e9d535541881fe262a/1529894214804/brag_003.png","'20411","Vendor","Bragg","","","","","8.99 USD","0.00 USD","","0.037478585","0.0","0.0","0.0","Unlimited"
"/bragg/","'20468","Bragg Liquid Aminos Spray Bottle","<p style=""white-space: pre-wrap;"">Bragg Liquid Aminos are made from natural soybeans and purified water. NON-GMO PROJECT VERIFIED & GLUTEN-FREE, they are an excellent, gourmet alternative to Tamari and Soy Sauce. Bragg Liquid Aminos, which contain no alcohol and are not fermented, add a delightful taste to a wide variety of foods.</p><p style=""white-space: pre-wrap;"">6 oz</p><p style=""white-space: pre-wrap;"">Ingredients: Alanine, Arginine, Aspartic Acid, Glutamic Acid, Glycine, Histidine, Isoleucine, Leucine, Lysine, Methionine, Phenylalanine, Proline, Serine, Threonine, Tyrosine, and Valine.</p><p style=""white-space: pre-wrap;"">Disclaimer: While Dolce Blu aims for accuracy on all products/representation such as images and information, products may not always be updated and manufacturing changes on packaging and/or ingredients may be pending update on our site. Products may sometimes be in different packaging, but quality is always guaranteed. </p> <p style=""white-space: pre-wrap;"">We suggest that you read labels, warnings and directions of all products before use and not only rely on the information provided by Dolce Blu.</p>","PHYSICAL","Amino","Condiments, View All","true","https://static1.squarespace.com/static/5ab127302487fd2c665fa5bb/5b3054e9d535541881fe25b3/5b3054e9d535541881fe265d/1529894212633/bragg_005.png","'20468","Vendor","Bragg","","","","","5.99 USD","0.00 USD","","0.03306934","0.0","0.0","0.0","Unlimited"
"/everyone/","'41092","EO® Be Well Bubble Bath","<p style=""white-space: pre-wrap;"">Like a refreshing walk in the woods, this bubble bath stimulates and invigorates the senses while giving tired, sore muscles the relief they crave. Bright, invigorating Eucalyptus blends with soothing Arnica to ease sore muscles into relaxation. Bubble up and be well. 12 fl oz, packaged in a recycled blue bottle.</p><p style=""white-space: pre-wrap;"">12 fl oz</p><p style=""white-space: pre-wrap;"">Ingredients: Purified Water, Sodium Coco-Sulfate, Cocamidopropyl Hydroxysultaine, Glycerin, Sodium Methyl Cocoyl Taurate, Caprylyl/Capryl Glucoside, Purifying Complex [Angelica Archangelica Root Extract, Urtica Dioica (Nettle) Extract, Echinacea Angustifolia Extract], EO Essential Oil Blend [Citrus Medica Limonum (Lemon) Peel Oil, Eucalyptus Globulus Oil, Pinus Sylvestris Leaf Oil, Citrus Aurantifolia (Lime) Oil, Gaultheria Procumbens (Wintergreen) Leaf Oil], Arnica Montana Flower Extract, Panthenol, Allantoin, Hydrolyzed Rice Protein, EO Organic Herbal Blend [Organic Aloe Barbadensis Leaf, Organic Chamomilla Recutita (Matricaria) Flower Extract, Organic Calendula Officinalis Flower Extract, Organic Camellia Sinensis Leaf Extract], Citric Acid, Sodium Phytate, Potassium Sorbate, Sodium Levulinate</p><p style=""white-space: pre-wrap;"">Directions: Pour generously into warm running water, inhale the scents of the forest as the bubbles form. Slip into this tranquil bath and relax. Allow yourself to get lost in dreams of the great outdoors. Be well. When using this product as part of a deodorant detox… Few things are more rejuvenating and refreshing than a long soak in a hot bath. Adding some aromatherapeutic bubbles to your tub will help your mind, body, and spirit reboot. Your skin may be sensitive during your transition to natural deodorant, so a long soak with ingredients like Aloe and Chamomile will help nourish and replenish.</p><p style=""white-space: pre-wrap;""><strong>Love, everyone™</strong></p><p style=""white-space: pre-wrap;"">Disclaimer: While Dolce Blu aims for accuracy on all products/representation such as images and information, products may not always be updated and manufacturing changes on packaging and/or ingredients may be pending update on our site. Products may sometimes be in different packaging, but quality is always guaranteed. </p> <p style=""white-space: pre-wrap;"">We suggest that you read labels, warnings and directions of all products before use and not only rely on the information provided by Dolce Blu.</p>","PHYSICAL","","EO®","true","https://static1.squarespace.com/static/5ab127302487fd2c665fa5bb/5b23fa719c72bfc7c92573bf/5b23fa729c72bfc7c9257434/1529084703509/eo_007.png","'41092","Vendor","EO Products","","","","","17.00 USD","0.00 USD","","0.0022046226","0.0","0.0","0.0","Unlimited"
"/everyone/","'41546","EO® French Lavender Shower Gel","<p style=""white-space: pre-wrap;"">The timeless scent of French Lavender is paired with our signature Soothing Complex, delivering a calm, deeply moisturizing bathing experience your skin won't want to live without. Mind, body and spirit are renewed using this shower gel. Have a serene moment alone every day. 16 fl oz, packaged in a recycled blue bottle.</p><p style=""white-space: pre-wrap;"">16 fl oz</p><p style=""white-space: pre-wrap;"">Ingredients: Purified Water, Cocamidopropyl Hydroxysultaine, Sodium Coco-Sulfate, Sodium Methyl Cocoyl Taurate, Glycerin, Caprylyl/Capryl Glucoside, Moisturizing Complex [Ficus Carica (Fig) Fruit/Leaf Extract, Humulus Lupulus (Hops) Extract], Panthenol, Allantoin, EO Organic Herbal Blend [Organic Aloe Barbadensis Leaf, Organic Chamomilla Recutita (Matricaria) Flower Extract, Organic Calendula Officinalis Flower Extract, Organic Camellia Sinensis Leaf Extract], EO Essential Oil Blend [Lavandula Angustifolia (Lavender) Oil, Lavandula Hybrida Oil], Hydrolyzed Rice Protein, Citric Acid, Sodium Phytate, Potassium Sorbate, Sodium Levulinate</p><p style=""white-space: pre-wrap;"">Directions: Generously apply to wet skin, massage gently. Inhale the timeless scent of Lavender. Enjoy a serene moment alone. Rinse and enjoy soft, sweet smelling skin.</p><p style=""white-space: pre-wrap;""><strong>Love, everyone™</strong></p><p style=""white-space: pre-wrap;"">Disclaimer: While Dolce Blu aims for accuracy on all products/representation such as images and information, products may not always be updated and manufacturing changes on packaging and/or ingredients may be pending update on our site. Products may sometimes be in different packaging, but quality is always guaranteed. </p> <p style=""white-space: pre-wrap;"">We suggest that you read labels, warnings and directions of all products before use and not only rely on the information provided by Dolce Blu.</p>","PHYSICAL","","EO®","true","https://static1.squarespace.com/static/5ab127302487fd2c665fa5bb/5b23fa719c72bfc7c92573bf/5b23fa729c72bfc7c925745e/1529084704158/eo_003.png","'41546","Vendor","EO Products","","","","","17.00 USD","0.00 USD","","0.0022046226","0.0","0.0","0.0","Unlimited"
"/everyone/","'41562","EO® French Lavender Body Lotion","<p style=""white-space: pre-wrap;"">Rich botanical extracts are combined with Oat Betaglucan and the nourishing oils of Jojoba and Sesame to restore skin’s moisture. The timeless scent of French Lavender soothes the senses while this light lotion rejuvenates dry skin. Rub in a little serenity every day. Packaged in an 8oz recycled blue bottle.</p><p style=""white-space: pre-wrap;"">8 fl oz</p><p style=""white-space: pre-wrap;"">Ingredients: Purified Water, Glycerin, Organic Simmondsia Chinensis (Jojoba) Seed Oil, Caprylic/Capric Triglyceride, Cetearyl Olivate, Sorbitan Olivate, Glyceryl Stearate, Cetyl Alcohol, Stearyl Alcohol, EO Essential Oil Blend [Lavandula Angustifolia (Lavender) Oil, Lavandula Hybrida Oil], Cetyl Esters, EO Organic Herbal Blend [Organic Aloe Barbadensis Leaf, Organic Chamomilla Recutita (Matricaria) Flower Extract, Organic Calendula Officinalis Flower Extract, Organic Camellia Sinensis Leaf Extract], Mangifera Indica (Mango) Seed Butter, Hydrolyzed Rice Protein, Organic Sesamum Indicum (Sesame) Seed Oil, Tocopherol, Betaglucan, Lecithin, Xanthan Gum, Sodium Phytate, Dimethicone, Glyceryl Caprylate, Citric Acid, Potassium Sorbate, Sodium Levulinate</p><p style=""white-space: pre-wrap;"">Directions: Smooth into skin, massage gently. Inhale the timeless scent of lavender. Enjoy a serene moment alone and soft, sweet smelling skin.</p><p style=""white-space: pre-wrap;""><strong>Love, everyone™</strong></p><p style=""white-space: pre-wrap;"">Disclaimer: While Dolce Blu aims for accuracy on all products/representation such as images and information, products may not always be updated and manufacturing changes on packaging and/or ingredients may be pending update on our site. Products may sometimes be in different packaging, but quality is always guaranteed. </p> <p style=""white-space: pre-wrap;"">We suggest that you read labels, warnings and directions of all products before use and not only rely on the information provided by Dolce Blu.</p>","PHYSICAL","","EO®","true","https://static1.squarespace.com/static/5ab127302487fd2c665fa5bb/5b23fa719c72bfc7c92573bf/5b23fa729c72bfc7c9257459/1529084706427/eo_001.png","'41562","Vendor","EO Products","","","","","12.00 USD","0.00 USD","","0.0022046226","0.0","0.0","0.0","Unlimited"
"/everyone/","'41622","EO® Lemon & Eucalyptus Hand Soap","<p style=""white-space: pre-wrap;"">An uplifting blend of Eucalyptus, Lemon, Lavender and Thyme essential oils lends this hand soap its fresh scent. Nutrient-rich botanical extracts are combined with Vitamin E and Coconut based cleansers to nourish the skin, leaving hands gently cleansed and lightly scented. 12 fl oz, packaged in a recycled blue bottle.</p><p style=""white-space: pre-wrap;"">12 fl oz</p><p style=""white-space: pre-wrap;"">Ingredients: Purified Water, Cocamidopropyl Hydroxysultaine, Sodium Methyl Cocoyl Taurate, Sodium Coco-Sulfate, Caprylyl/Capryl Glucoside, EO Essential Oil Blend [Eucalyptus Globulus Leaf Oil, Lavandula Angustifolia (Lavender) Oil, Citrus Medica Limonum (Lemon) Peel Oil, Thymus Vulgaris (Thyme) Flower/Leaf Oil], EO Organic Herbal Blend [Organic Aloe Barbadensis Leaf, Organic Chamomilla Recutita (Matricaria) Flower Extract, Organic Calendula Officinalis Flower Extract, Organic Camellia Sinensis Leaf Extract], Citric Acid, Sodium Phytate, Potassium Sorbate, Sodium Levulinate</p><p style=""white-space: pre-wrap;"">Directions: Generously apply to hands, lather up and breathe in the uplifting scents of lemon and eucalyptus. Rinse and smile.</p><p style=""white-space: pre-wrap;""><strong>Love, everyone™</strong></p><p style=""white-space: pre-wrap;"">Disclaimer: While Dolce Blu aims for accuracy on all products/representation such as images and information, products may not always be updated and manufacturing changes on packaging and/or ingredients may be pending update on our site. Products may sometimes be in different packaging, but quality is always guaranteed. </p> <p style=""white-space: pre-wrap;"">We suggest that you read labels, warnings and directions of all products before use and not only rely on the information provided by Dolce Blu.</p>","PHYSICAL","","EO®","true","https://static1.squarespace.com/static/5ab127302487fd2c665fa5bb/5b23fa719c72bfc7c92573bf/5b23fa729c72bfc7c9257468/1529084705873/eo_006.png","'41622","Vendor","EO Products","","","","","12.00 USD","0.00 USD","","0.0022046226","0.0","0.0","0.0","Unlimited"
"/alba-botanica/","'50608","Alba Botanica Strong Hold Hair Gel","<p style=""white-space: pre-wrap;"">For a healthy-looking style, this light, alcohol-free gel provides all day sculpting control without drying hair. Wheat protein, B vitamins and antioxidants nourish and replenish.</p><p style=""white-space: pre-wrap;"">7 fl oz</p><p style=""white-space: pre-wrap;"">Ingredients: Aqua (Water), VP/VA Copolymer, Glycerin, Hydrolyzed Wheat Protein, Biotin, Panthenol, Niacin , Salvia Officinalis (Sage) Leaf Extract, Camellia Sinensis Leaf Extract (1), Serenoa Serrulata Fruit Extract (1), Aloe Barbadensis Leaf Juice (1), Lavandula Angustifolia (Lavender) Extract (1), Chamomilla Recutita (Matricaria) Flower Extract (1), Moringa Pterygosperma Seed Extract, Carbomer, Sodium Hydroxide, Phenoxyethanol. (1)Certified Organic Ingredient</p><p style=""white-space: pre-wrap;"">Directions: Apply sparingly to clean, damp hair. Style as usual.</p><p style=""white-space: pre-wrap;"">Disclaimer: While Dolce Blu aims for accuracy on all products/representation such as images and information, products may not always be updated and manufacturing changes on packaging and/or ingredients may be pending update on our site. Products may sometimes be in different packaging, but quality is always guaranteed. </p> <p style=""white-space: pre-wrap;"">We suggest that you read labels, warnings and directions of all products before use and not only rely on the information provided by Dolce Blu.</p>","PHYSICAL","","Alba Botanica Hair","true","https://static1.squarespace.com/static/5ab127302487fd2c665fa5bb/5b1acaa352951dc034c39066/5b1acaa852951dc034c391bd/1528482967098/alba_bo_026.png","'50608","Vendor","Alba Botanica","","","","","13.00 USD","0.00 USD","","0.002204623","0.0","0.0","0.0","Unlimited"
"/alba-botanica/","'50611","Alba Botanica Leave-In Conditioner","<p style=""white-space: pre-wrap;"">Lipid-rich coconut oil, natural plant proteins and fortifying antioxidants in this fragrance free cream lightly treat dry or damaged hair to improve suppleness and shine without adding weight or dulling residue.</p><p style=""white-space: pre-wrap;"">7fl oz</p><p style=""white-space: pre-wrap;"">Ingredients: Aqua (Water), Cetearyl Alcohol, Cocos Nucifera (Coconut) Oil, Glycerin, Behentrimonium Methosulfate, Panthenol, Camellia Sinensis Leaf Extract (1), Moringa Pterygosperma Seed Extract, Agave Rigida (Sisal) Extract, Trigonella Foenum-Graecum (Fenugreek) Seed Extract, Althaea Officinalis Leaf/Root Extract, Aloe Barbadensis Leaf Juice (1), Lavandula Angustifolia (Lavender) Extract (1), Calendula Officinalis Flower Extract (1), Chamomilla Recutita (Matricaria) Flower Extract (1), Citric Acid, Phenoxyethanol, Potassium Sorbate. (1)Certified Organic Ingredient</p><p style=""white-space: pre-wrap;"">Directions: Apply sparingly to damp or dry hair. Style as usual.</p><p style=""white-space: pre-wrap;"">Disclaimer: While Dolce Blu aims for accuracy on all products/representation such as images and information, products may not always be updated and manufacturing changes on packaging and/or ingredients may be pending update on our site. Products may sometimes be in different packaging, but quality is always guaranteed. </p> <p style=""white-space: pre-wrap;"">We suggest that you read labels, warnings and directions of all products before use and not only rely on the information provided by Dolce Blu.</p>","PHYSICAL","","Alba Botanica Hair","true","https://static1.squarespace.com/static/5ab127302487fd2c665fa5bb/5b1acaa352951dc034c39066/5b1acaa652951dc034c39140/1528482950408/alba_bo_002.png","'50611","Vendor","Alba Botanica","","","","","12.00 USD","0.00 USD","","0.002204623","0.0","0.0","0.0","Unlimited"
"/alba-botanica/","'50633","Alba Botanica Pineapple Enzyme Facial Cleanser","<p style=""white-space: pre-wrap;"">Say hello to a renewed and radiant complexion with this fresh-faced cleanser. Pore-refining pineapple and skin-brightening papaya enzymes wash away impurities, make-up and dullness. Aloe, hibiscus and passion flower provide much needed R&R to soothe and balance. It’s total tropical radiance.</p><p style=""white-space: pre-wrap;"">8 fl oz</p><p style=""white-space: pre-wrap;"">Ingredients: Aqua (Water), Jojoba Esters, Caprylic/Capric Triglyceride, Simmondsia Chinensis (Jojoba) Seed Oil (1), Aloe Barbadensis Leaf Juice (1), Ananas Sativus (Pineapple) Fruit Extract, Carica Papaya (Papaya) Fruit Extract (1), Zingiber Officinale (Ginger) Root Extract (1), Tocopheryl Acetate, Allantoin, Bromelain, Carbomer, Cetyl Alcohol, Citric Acid, Glycerin, Potassium Hydroxide, Sodium Riboflavin Phosphate, Stearic Acid, Alcohol (1)Certified Organic Ingredient</p><p style=""white-space: pre-wrap;"">Directions: Rinse face with warm water. Apply a small amount of cleanser to palm, work into a creamy lather and massage over face and neck. Rinse clean.</p><p style=""white-space: pre-wrap;"">Disclaimer: While Dolce Blu aims for accuracy on all products/representation such as images and information, products may not always be updated and manufacturing changes on packaging and/or ingredients may be pending update on our site. Products may sometimes be in different packaging, but quality is always guaranteed. </p> <p style=""white-space: pre-wrap;"">We suggest that you read labels, warnings and directions of all products before use and not only rely on the information provided by Dolce Blu.</p>","PHYSICAL","","Alba Botanica Skincare, Alba Botanica Facial C...","true","https://static1.squarespace.com/static/5ab127302487fd2c665fa5bb/5b1acaa352951dc034c39066/5b1acaa752951dc034c3917d/1528482961308/alba_bo_004.png","'50633","Vendor","Alba Botanica","","","","","17.00 USD","0.00 USD","","0.002204623","0.0","0.0","0.0","Unlimited"
"/alba-botanica/","'50634","Alba Botanica Coconut Milk Facial Wash","<p style=""white-space: pre-wrap;"">Your skin will worship this smoothing, miracle milk cleanser. Creamy, rich and abundant in Mother Nature’s nourishment, it gently washes away any traces of the day with deeply cleansing coconut milk and pore-refining papaya enzymes. Revitalizing ginger and soothing aloe balance the skin for a refreshed, clean feel without tightness. Slip into smooth.</p><p style=""white-space: pre-wrap;"">8fl oz</p><p style=""white-space: pre-wrap;"">Ingredients: Aqua (Water), C14-22 Alcohol, Stearic Acid, Cetearyl Alcohol, Ethylhexyl Palmitate, Aloe Barbadensis Leaf Juice(1), Carica Papaya (Papaya) Fruit Extract(1), Cocos Nucifera (Coconut) Fruit Extract(1), Zingiber Officinale (Ginger) Root Extract(1), Cocos Nucifera (Coconut) Oil(1), Helianthus Annuus (Sunflower) Seed Oil(1), Linum Usitatissimum (Linseed) Seed Oil(1), Rosa Canina Fruit Oil(1), Simmondsia Chinensis (Jojoba) Seed Oil(1), C12-20 Alkyl Glucoside, Cetyl Alcohol, Glycerin, Panthenol, Polysorbate 60, Potassium Hydroxide, Tocopheryl Acetate, Alcohol(1), Benzoic Acid, Dehydroacetic Acid, Phenoxyethanol, Coumarin, Fragrance (Parfum). (1)Certified Organic Ingredient</p><p style=""white-space: pre-wrap;"">Directions: Rinse face with warm water. Apply a small amount of cleanser to palm and gently massage over face and neck. Rinse clean.</p><p style=""white-space: pre-wrap;"">Disclaimer: While Dolce Blu aims for accuracy on all products/representation such as images and information, products may not always be updated and manufacturing changes on packaging and/or ingredients may be pending update on our site. Products may sometimes be in different packaging, but quality is always guaranteed. </p> <p style=""white-space: pre-wrap;"">We suggest that you read labels, warnings and directions of all products before use and not only rely on the information provided by Dolce Blu.</p>","PHYSICAL","","Alba Botanica Skincare, Facial Wash","true","https://static1.squarespace.com/static/5ab127302487fd2c665fa5bb/5b1acaa352951dc034c39066/5b1acaa552951dc034c390bf/1528482937686/alba_bo_005.png","'50634","Vendor","Alba Botanica","","","","","17.00 USD","0.00 USD","","0.002204623","0.0","0.0","0.0","Unlimited"
